airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,BKI,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,BKK,Suvarnabhumi Airport,Bangkok,Thailand,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,BWN,Brunei International Airport,Bandar Seri Begawan,Brunei,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,CAN,Guangzhou Baiyun International Airport,Guangzhou,China,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,DXB,Dubai International Airport,Dubai,United Arab Emirates,330
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,HAN,Noi Bai International Airport,Hanoi,Vietnam,319
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,HKT,Phuket International Airport,Phuket,Thailand,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,ICN,Incheon International Airport,Seoul,South Korea,330
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,KIX,Kansai International Airport,Osaka,Japan,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,320
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,MFM,Macau International Airport,Macau,Macau,319
5J,MNL,Ninoy Aquino International Airport,Manila,Philippines,NGO,Chubu Centrair International Airport,Nagoya,Japan,320
